health_facility:type,shop,addr:city:it,building:part,indoor,payment:debit_cards,rooms,addr:housenumber,healthcare:speciality,name:de,source,ref:msal,it:fvg:ctrn:code,fax,fixme,addr:street,contact:facebook,contact:fax,addr:city,payment:cash,addr:postcode,roof:material,level,payment:credit_cards,payment:contactless,roof:orientation,payment:mastercard,addr:street:it,name:it,payment:maestro,brand:wikidata,tipologia,stato,ref,email,barrier,contact:email,name:sc,roof:shape,building:use,min_level,addr:inclusion,toilets:wheelchair,payment:cards,drive_through,lon,contact:website,roof:colour,layer,height,uploaded_by,operator,brand:wikipedia,ref:vatin,area,opening_hours,contact:phone,addr:housename,name,addr:city:de,start_date,website,addr:unit,brand,phone,smoking,room,it:fvg:ctrn:revision,buildingpart,dispensing,source:url,landuse,wheelchair,amenity,PRO_COM,addr:suburb,official_name,COMUNE,building:levels,note,ref:datiopen,description,max_level,addr:street:de,payment:visa,levels,lat,building,building:colour,roof:levels,addr:interpolation,addr:place,healthcare,addr:country
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.1545044,,,,,,,,,,,,,AMA Rozzano Spa,,,,,,,,,,,yes,,,,pharmacy,,,,,,,,,,,,,45.3802664,yes,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.0968636,,,,,,,,,,,,,Affatati,,,,,,,,,,,yes,,,,pharmacy,,,,,,,,,,,,,38.9600917,yes,,,,,pharmacy,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0005725,,,,,,,,,,,,,Anglese Farmacia,,,,,,,,,,,yes,,,,pharmacy,,,,,,,,,,,,,45.7693559,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.4626535,,,,,,,,,,,,,Apotheke Wiesen,,,,,,,,,,,yes,,,,pharmacy,,,,,,,,,,,,,46.8999751,yes,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.0239258,,,,,,,,,,,,,Asteriti,,,,,,,,,,,,,,,pharmacy,,,,,,,,,,,,,38.9126678,yes,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.5260839,,,,,,,,IT02024630598,,,,,Azienda Farmaceutica Itri SPA,,,,,,,,,,,yes,,,,pharmacy,,,,,,,,,,,,,41.2899912,yes,,,,,,
,,,,,,,28;30;32;34,,,,,,,,Via San Francesco,,,Pisa,,56127,,,,,,,,,,,,,,,,,,,,,,,,no,10.4047167,,,,,,,,,,,,,BioFarma - Parafarmacia & Erboristeria,,,http://www.biofarmapisa.it/,,,,,,,,,,,,pharmacy,,,,,,,,,,,,,43.7183043,yes,,,,,,
,,,,,,,,,,DatiOpen.it - Provincia Regionale di Trapani,,,,,,,,,,91026,,,,,,,,,,,,,,,,,,,,,,,,,12.5780675,,,,,,,,IT00393330816,,,+39 0923 651220,,Bono del Dottor Misuraca Fulvio,,,,,,,,,,,yes,http://www.datiopen.it/it/data/Farmacie_della_Provincia_di_Trapani,,,pharmacy,,,,,,,15755,,,,,,37.6579595,yes,,,,,,
,,,,,,,,,,,,4AED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.9023148,,,,6 m,,,,,,,,,Boscarol,,,,,,,,,000,,yes,,,,pharmacy,,,,,,,,,,,,,46.2002624,yes,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.2940088,,,,,,,,,,,,,Camisani,,,,,,,,,,,,,,,pharmacy,,,,,,,,,,,,,46.1369603,yes,,,,,,
,,,,,,,1/A,,,,,,,,Via Ilaria Alpi,,,Azzano Decimo,,33082,,,,,,,,,,,,,,,,,,,,,,,,,12.6974807,,,,,,,,,,"Mo-Sa 09:00-20:00, Su 09:00-12:30",,,Casa del Benessere,,,,,,,,,,,,,,,pharmacy,,,,,,,,,,,,,45.8919396,yes,,,,,,
,,,,,,,,,,Regione Emilia Romagna,,,,,Via Azzurra,,,Bologna,,,,,,,,,,Comunale,,,,,,,,,,,,,,,,,11.3734743,,,,,,,,,,,,,Comunale,,,,,,,,,,,,,,,pharmacy,,,,,,,,,,,,,44.4875696,yes,,,,,,
,,,,room,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,farmacia.comunale5@amr-rovereto.it,,,,,,,,,,,11.0136700,,,,,,Farmacia Comunale,,,,"Tu-Su 09:00-19:30, Mo 14:00-19:30",,,Comunale 5,,,,,,+39 0464 424961,,amenity,,,yes,,,yes,pharmacy,,,,,,,,,,,,,45.8687213,,,,,,,
,,,,,,,370,,,dati.emilia-romagna.it,,,,,Via Ciro Menotti,,,Modena,,41122,,,,,,,,,,,,,,,,,,,,,,,,,10.9426250,,,,,,,,,,"Mo-Fr 08:30-13:00,15:30-19:30",,,Comunale Crocetta,,,http://www.fcmspa.it/,,,+39 059 251452‎,,,,,yes,,,,pharmacy,,Crocetta-San Lazzaro-Modena Est,,,,,,,,,,,44.6526113,yes,,,,,,IT
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.1569431,,,,,,,,,,,,,Comunale Vittoria Apuana,,,,,,,,,,,no,,,,pharmacy,,,,,,,,,,,,,43.9700346,,,,,,,
,,,,,,,,,,,,,,,Via Nazionale,,,Villar Perosa,,10069,,,,,,,,,,,,,,,,,,,,,,,,,7.2455780,,,,,,,,,,,,,De Paoli,,,,,,,,,,,,,,,pharmacy,,,,,,,,,,,,,44.9220970,yes,,,,,pharmacy,
,,,,,,,36/A,,,,,,,,Corso Giuseppe Garibaldi,,,Laconi,,08034,,,,,,,,,,,,,,,,,,,,,,,,,9.0530995,,,,,,,,,,,,,Deiana Dr. Franco,,,,,,+39 0782 869238,,,,,,,,,pharmacy,,,,,,,,,,,,,39.8538231,yes,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.1637858,,,,,,,,,,,,,Dispensario Dott. A. Giammito,,,,,,,,,,,no,,,,pharmacy,,,,,,,,,,,,,39.8595127,yes,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.2713423,,,,,,,,,,,,,Dispensario Farmaceutico Schiattino,,,,,,+39 0833 712021,,,,,yes,,,,pharmacy,,,,,,,,,,,,,39.8346962,yes,,,,,,
,,,,,,,63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.7557676,,,,,,,,,,,,,Dispensario farmaceutico,,,,,,,,,,,,,,,pharmacy,,,,,,,,,,,,,45.5226391,yes,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.9388359,,,,,,,,,,,,,Dispensario farmaceutico di Castelnuovo B.,,,,,,,,,,,no,,,,pharmacy,,,,,,,,,,,,,45.7640538,yes,,,,,pharmacy,
,,,,,,,,,,Regione Emilia Romagna,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.4236917,,,,,,,,,,,,,Dottor Alfredo Margini,,,,,,,,,,,,,,,pharmacy,,,,,,,,,,,,,44.6257909,yes,,,,,,
,,,,,,,,,,,,,,,,,,,,37019,,,,,,,,,,,,,,,,,,,,,,,,,10.6862528,,,,,,,,,,,,,Dottor Giubertoni,,,,,,,,,,,yes,,,,pharmacy,,,,,,,,,,,,,45.4401912,yes,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.8798567,,,,,,,,,,,,,Dottor Pellegrino,,,,,,,,,,,no,,,,pharmacy,,,,,,,,,,,,,41.8365107,yes,,,,,,
,,,,,,,,,,,5830,4AED,,add via roma 123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.6975460,,,,8 m,,,,IT00635810930,,,,,Dottor Princivalli,,2015-02-01,,,,,,,1A0,,yes,,,,pharmacy,,,,,,,,,,,,,45.8197100,yes,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.3596457,,,,,,,,,,,,,Dtt. Compagnoni,,,,,,,,,,,yes,,,,pharmacy,,,,,,,,,,,,,46.4405472,yes,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no,13.0165227,,,,,,,,,,,,,Faramacia Olevano Romano,,,,,,,,,,,yes,,,,pharmacy,,,,,,,,,,,,,41.8311586,yes,,,,,pharmacy,
