building,website,amenity,name,emergency,source,building:levels,opening_hours,wheelchair,healthcare:speciality,lon,leisure,note,phone,healthcare,lat,smoking,office,description
public,,doctors,Aarup Lægerne,,,,Mo-Th 08:30-15:00; Fr 08:30-12:00,yes,,10.0527470,,,+45 64 43 10 24,doctor,55.3740790,,,
yes,,doctors,Behandlerhuset Dokken,,,,,,,8.6946260,,,,,56.9519464,,,
yes,http://www.familielægerneespergærde.dk/,doctors,FamilieLægerne Espergærde,,,,,,,12.5066659,,,+45 4848 0260,doctor,55.9948559,,,Lægehus
yes,,doctors,Gigtsanatoriet,,,,,,,11.2828250,,,,,55.2604126,,,
yes,,doctors,Glumsø lægehus,,,,,,,11.6907088,,,,,55.3544847,,,
yes,,doctors,Grenaa Sundhedshus,,,,,,,10.8638854,,,,,56.4179880,,,
yes,,doctors,Karise Lægerne,,,,,,general,12.2078561,,,,doctor,55.3055826,,,
yes,,doctors,Læge Philipp Harbig,,,,,,,10.2022390,,,,doctor,56.1808798,,,
yes,,doctors,Læge Preben Dissing,,,,,,,10.8746022,,,,doctor,56.4156866,,,
yes,,doctors,Lægehus,,import,,,,,12.0852978,,,,,54.9992243,,,
yes,,doctors,Lægehus,,,,,,,9.3740525,,,,,55.7020271,,,
yes,,doctors,Lægehus Midtbyen,,Kolding Kommune,,,,,9.4824620,,,,doctor,55.4927080,,,
yes,https://www.laegehusetjyderup.dk,doctors,Lægehuset,,,,,,general,11.3971345,,,+45 59 25 66 00,doctor,55.6587625,,,
yes,,doctors,Lægehuset,,,,,,,10.4000215,,,,,55.3007879,,,
public,http://www.logstor-dok.dk/,doctors,Lægehuset,,,,,,,9.2539881,,,+45 98 671 500,,56.9666453,,,
yes,,doctors,Lægehuset,,,,,,,9.3616639,,,,,54.8263950,,,
yes,http://www.lægerneulfborg.dk/,doctors,Lægehuset,,Geodatastyrelsen,1,,yes,,8.3245466,,This clinic have more doctors with different phonenumbers. This number is for the doctors Høst and Olsen.,+4596114990,,56.2716708,outside,,
yes,,doctors,Lægehuset,,,,,,,12.2764420,,,,doctor,55.5772783,,,
yes,https://korup-lægehus.dk,doctors,Lægehuset Korupcentret,,local_knowledge,,,limited,,10.2735441,,,,,55.4194113,,,
yes,,doctors,Lægehuset Lundby-Præstø,no,,,,,,11.8714933,,,,,55.1091284,,,
farm,http://www.laegehusetregstrup.dk,doctors,Lægehuset Regstrup,,,,,,,11.6200777,,,+45 59471885,,55.6634682,,,
yes,,doctors,Lægehuset Ryomgård,,,,,,general,10.5017137,,,,doctor,56.3803828,,,
yes,,doctors,Lægehuset Sct. Anne,no,Bing,,,,,10.3850639,,,,,55.3934655,,,
yes,,doctors,Lægehuset i Hedensted,,,,,yes,,9.6898529,,,,,55.7796084,,,
yes,,doctors,Lægehuset i Smørum,,,,,,,12.3037183,,,,,55.7332530,,,
yes,http://ostergade32.dk/,doctors,Lægehuset Østergade,,,,,,,8.4568152,,,+45 82131400,doctor,55.4685688,,,
yes,,doctors,Lægeklinikken  Saad Whaeb,,http://www.lægeklinikkensaadwhaeb.dk/,,,,,8.4504226,,,+45 75126511,doctor,55.4646832,,,
yes,http://www.doktorstien.dk,doctors,Lægeklinikken Sulsted,,,,,,,9.9648370,,,,doctor,57.1559609,,,
house,http://www.74821136.dk/,doctors,"Lægerne Hoeg, Lind og Østergaard-Nielsen",,,,,,,9.0566504,,,,,55.2893025,,,
yes,,doctors,Lægerne Idriss Kise,,,,,,general,9.7795586,,,,doctor,56.1763844,,,
retail,http://www.kongelund290.dk/,doctors,Lægerne Kongelundsvej 290,,,,,,,12.5853842,,,,,55.6168139,,,
yes,,doctors,Lægerne Kongelundsvej 434,,,,,,,12.5831598,,,,,55.6036695,,,
yes,http://www.praksisnygaardsvej.dk/,doctors,Lægerne Nygårdsvej,,,,,,,8.4446417,,,,doctor,55.4712231,,,
yes,,doctors,Lægerne Skovbrynet,,,,,,,10.5756157,,,,,57.7201260,,,
yes,,doctors,Lægerne i Brande,,,,,,,9.1240316,,,,,55.9402111,,,
yes,http://www.lægerneigørding.dk/,doctors,Lægerne i Gørding,,,,,,,8.8041742,,,,doctor,55.4691084,,,
yes,http://laegerneihirtshals.dk,doctors,Lægerne i Hirtshals,,,,Mo-Fr 08:30-16:00,,,9.9732903,,,+4598941177,doctor,57.5867260,,,
yes,http://www.laegerneinibe.dk/,doctors,Lægerne i Nibe,,,,,,,9.6325306,,,,,56.9839492,,,
yes,http://laegerneisolbjerg.dk,doctors,Lægerne i Solbjerg,defibrillator,,,Mo-Th 08:00-16:00; Fr 08:00-14:00,,,10.0862651,,,+4586927433,,56.0453327,,,
yes,,doctors,Lægerne i Svenstrup,,,,,,,9.8340273,,,,,56.9707426,,,
yes,,doctors,Lægerne i Trige,,,,,,,10.1412348,,,,,56.2531102,,,
yes,,doctors,Lægernes Hus,,,,,,,9.5880134,,,,,54.9111359,,,
yes,,doctors,Maribo Sundhedscenter,,,,,,,11.5131556,,,,,54.7657236,,,
yes,http://www.laegecenter.dk,doctors,Næstved Lægecenter,,,,,yes,,11.7577878,,Kun indkørsel fra Omøvej.,,,55.2216968,,physician,
yes,,doctors,Skødstrup lægehus,,,,,,,10.3025338,,,,,56.2627835,,,
yes,,doctors,Sundhedens Hus,,Bing,,,yes,,9.9255780,,,,,57.0436868,,,
yes,,doctors,Sundhedscenter,,,,,,,11.3069048,,,,,55.2561779,,,
,https://www.haderslev.dk/borger/sundhed-og-helbred/sunde-aktiviteter-til-dig/sundhedscenter-haderslev,doctors,Sundhedscenter Haderslev,,,,,,,9.4814372,,,,yes,55.2562875,,,
yes,,doctors,Sundhedscenter Odsherred,,,,,,,11.6638506,,,,,55.9208872,,,
yes,,doctors,Sundhedshus Hurup,,,,,,,8.4159337,,,,,56.7531630,,,
yes,,doctors,Ulstrup Lægepraksis,,,,,,,9.7947581,,,,doctor,56.3926441,,,
yes,,doctors,Vivild lægehus,,,1,,,,10.4526116,,,,,56.4836861,,,
