amenity,healthcare:speciality,house,contact:website,payment:cash,alt_name,building:roof:shape,operator,payment:credit_cards,addr:housenumber,addr:town,lon,building:levels,opening_hours,contact:phone,addr:housename,note,source,addr:street,email,website,fax,emergency,addr:full,payment:visa,phone,addr:county,addr:city,building,fixme,name:en,lat,name,roof:shape,addr:postcode,wheelchair,source:geometry,addr:country,healthcare,building:cladding,toilets:wheelchair,landuse,roof:material
doctors,,,,,,,,,,,-6.7159571,,,,,,,,,,,,,,+353-53-9240623,,,commercial,,,52.3924745,Adamstown Health Centre,,,,,,doctor,,,,
doctors,,,,,,,,,,,-9.1511774,,,,,,,,,,,,,,+353 96 93706,,,yes,,,54.1143749,Atlantic Medical Centre,,,,,,doctor,,,,
doctors,,,,,Ayrfield Medical Park,,,,,,-7.2623496,,,,,,,,,,,,,,,,,,,,52.6578871,Ayrfield Medical Practice,,,,,,doctor,,,,
doctors,,,,,,,,,,,-6.3609794,,,,,,,,,,,,,,,,,yes,,,53.3433844,Ballyfermot Health Centre,,,,,,doctor,,,,
doctors,,,,,,,,,,,-8.6402442,,,,,,,,,,,,,,,,,yes,,,52.6747309,Ballynanty Health Centre,,,,,,doctor,,,,
doctors,,,,,,,,,,,-6.9796072,,,,,,,,,,,,,,,,,yes,,,52.9854810,Barrowview Medical Practice,,,,,,doctor,,,,
doctors,general,,,,,,,,,,-6.1517457,1,Mo-Fr 08:30-18:00; Sa-Su Off,,Beechlawn Medical Centre,,,Carrickbrennan Road,,http://www.beechlawnmedicalcentre.ie,,,,,+353-1-271-3300,,Monkstown,house,,,53.2917984,Beechlawn Medical Centre,,,designated,,,,,,,
doctors,,,,,,,Dr. Rita Brennan,,9,,-6.2543251,,,,,,,Beechwood Avenue Lower,reception@beechwoodmedical.com,http://www.beechwoodmedical.com/,+353-1-4961150,,,,+353-1-4961150,,,house,,,53.3215263,Beechwood Medical,,,,,,doctor,,,,
doctors,,,,,,,Health Service Executive (HSE),,,,-6.1791172,,,,,,,George's Avenue,,,,,,,+353-1-2882980;+353-1-2888423;+353-1-2885406,,Blackrock,,,,53.3012436,Blackrock Health Centre,,,,,,yes,,,,
doctors,,,,,,,,,,,-6.2676392,,,,,,,Glasnevin Hill,,https://www.bonsecoursclinicdublin.ie/,,,,,,,Dublin,yes,,,53.3749148,Bon Secours Consultants Clinic,,,,,,doctor,,,,
doctors,,,,,,,,,,,-7.9137720,,,,,,,,,,,,,,,,,yes,,,53.4185484,Bonnavalley Medical Centre,,,,,,doctor,,,,
doctors,,,,,,,,,,,-7.6156408,,,,,,,,,,,,,,,,,,,,52.9401644,Borris In Ossory Health Centre,,,,,,,,,,
doctors,,,,,,,,,,,-9.5046093,,,,,,,,,,,,,,,,,yes,,,51.4360556,Cape Clear Health Centre,,,,,,doctor,,,,
doctors,,,,,,,,,,,-7.2489208,,,,,,,,,,,,,,+0353 1850334999,,,house,,,52.6405821,Care Doc,,,,,,doctor,,,,
doctors,,,,,,,,,,,-8.6899993,,,,,,,,,,,,,,,,,yes,,,52.3603168,Charleville Family Practice,,,,,,doctor,,,,
doctors,,,,,,,,,,,-6.3732785,,,,,,,,,,,,,,,,,,,,53.3368386,Cherry Orchard Health Centre,,,,,,doctor,,,,
doctors,,,,,,,,,,,-9.0691907,,,,,,,Lower Salthill Road,,,,,,,,,Galway,yes,,,53.2667550,Churchfields Clinic and Medical Centre,,,,,,doctor,,,,
doctors,,,,,,,,,,,-6.6872845,,,,,,,,,,,,,,,,,,,,53.2949317,Clane GP,,,,,,doctor,,,,
doctors,,,,,,,,,,,-8.1941398,,,,,,,,,,,,,,,,,yes,,,52.8585254,Clareen House Medical Centre,,,,,,doctor,,,,
doctors,,,,,,,,,,,-8.8816630,,,,,,,Faxbridge Shopping Complex,,http://clonakiltygp.ie,,,,,+353 23 885 8774,,Clonakilty,yes,,,51.6239478,Clonakilty Family Health Clinic,,P85 W024,,,,doctor,,,,
doctors,,,,,,,,,,,-6.2313080,,,,Clonard Lodge,,,Sandyford Road,,http://www.clonardmedical.ie,,,,,012955010,,,yes,,,53.2776570,Clonard Medical,,,,,,doctor,,,,
