health_facility:type,shop,office,healthcare:speciality,OGD-Stmk:ARZTNR,description:de,health_specialty:ophthalmology,insurance:OEDA,addr:housenumber,description,addr:state,name:de,source,addr:village,addr:conscriptionnumber,healthcare:speciality:de,insurance:BVA,fax,at_bev:addr_date,emergency,contracts,historic,addr:street,fixme,contact:fax,addr:city,designation,addr:postcode,roof:material,insurance:SVA,health_specialty:surgery,insurance:VA,int_name,owner,full_name,insurance,phone_1,insurance:KFAW,wikipedia,insurance:KFAG,ref,email,source:housenumber,contact:email,contact:phone1,roof:shape,doctors,health_specialty:internal_medicine,general_medicine,health_specialty:general,health_person:type,health_specialty:radiology,toilets:wheelchair,source_ref,origin,lon,contact:website,roof:colour,lat,alt_name,building:roof:shape,source_1,operator,insurance:GKK,short_name,opening_hours,contact:phone,addr:housename,name,contact:mobile,OGD-Stmk:OBJECTID,start_date,website,phone,old_name,smoking,url,dispensing,landuse,amenity,addr:suburb,wikidata,medical_system:western,addr:district,building:levels,image,note,source:addr,building:material,addr:full,health_specialty:massage_therapy,min_height,health_specialty:orthopaedics,date,building,building:colour,health_specialty:optometry,wheelchair,addr:place,healthcare,addr:country
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,13.7689864,,,47.4100425,,,,,,,,,,Allgemeiner Medizinischer Arzt Thomas Zorn,,,,,,,,,,,doctors,,,,,,,,,,,,,,,yes,,,yes,,,
,,,,,,,,50,,,,,,,,,,,,,,Markt,,,Waldhausen im Strudengau,,4391,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.9500038,,,48.2724496,,,,,,,,,,Allgemeinmediziner Dr. Eder,,,,,,,,,,,doctors,,,,,,,,,,,,,,,yes,,,,,,AT
,,,,,,,,11,,,,,,,,,,,,,,Schulstraße,,,Münzbach,,4323,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.7113311,,,48.2642233,,,,,,,"Mo 08:00-12:00,16:00-18:00; Tu 08:00-12:00; We 08:00-12:00; Th 16:00-18:00; Fr 08:00-12:00;",07264 4512,,Allgemeinmediziner Dr. med. Martin Breinesberger,,,,http://www.dr-breinesberger.at/joomla/,,,,,,,doctors,,,,,,,,,,,,,,,house,,,,,,AT
,,,general,,,,,30,,,,,,,,,,,,,,Am Herndlberg,,,Lohnsburg am Kobernaußerwald,,4923,,,,,,,,,,,,,,ordination@arzt-lohnsburg.at,,,,,,,,,,,,,,13.4010342,,,48.1461253,,,,Dr. Iris Lomio & Dr. Inga Pumberger,,,"Mo 07:00-13:00,17:00-19:00; Tu,We,Fr 07:00-13:00; Sa 07:00-11:00; Th,Su,PH off",,,Allgemeinmedizinische Arztpraxis,,,,http://arzt-lohnsburg.at/,+43 7754 2315,,,,,,doctors,,,,,,,,,,,,,,,yes,,,,,doctor,
,,,,,,,,49,,,,,,,,,,,,,,,,,Schottwien,,2641,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.8718770,,,47.6560182,,,,,,,,,,Altes Doktorhaus,,,,,,,,,,,doctors,,,,,,,,,,,,,,,yes,,,,Schottwien,,AT
,,,,,,,,58,Altes Forsthaus,,,geoimage.at,,,,,,,,,building,Chlumeckyplatz,,,Bad Aussee,,8990,,,,,,,,,,,de:Liste der denkmalgeschützten Objekte in Bad Aussee,,,,,,,,,,,,,,,,,13.7831030,,,47.6105776,,,,"Dr. Michael Bayr, Gynäkologe",,,,,,Altes Forsthaus,,,,,,,,,,,doctors,,Q1854917,,,,,,wikipedia,,,,,,,yes,,,,,doctor,AT
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0274537,,,46.8710183,,,,,,,"Mo-Su,PH 09:30-11:30,16:00-18:00",,,Ambulatorium Obergurgl,,,,,,,,,,,doctors,,,,,3,,,,,,,9,,,yes,,,,,doctor,
,,,,,,,,8,,,,,,,,,,2017-10-01,,,,Lussgasse,,,Lermoos,,6631,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.8824096,,,47.4028498,,,,,,,,,,Artz dr. Iris Steiner,,,,,,,,,,,doctors,,,,,,,,,,,,,,,yes,,,yes,,,AT
,,,,,,,,40,,,,bing,,,,,,2017-10-01,,,,,,,Lambrechten,,4772,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.5118662,,,48.3174320,,,,,,,,,,Arzt,,,,,,,,,,,doctors,,,,,,,,,,,,,,,yes,,,,Lambrechten,,AT
,,,,,,,,5,,,,plan.at 2009,,,,,,2016-10-02,,,,Feldgasse,,,Sankt Barbara im Mürztal,,8662,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.5093585,,,47.5346626,,,,,,,,,,Arzt,,,,,,,,,,,doctors,,,,,,,,,,,,,,,yes,,,,,,AT
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.8873271,,,47.2330175,,,,,,,,,,Arzt,,,,,,,,,,,doctors,,,,,,,,,,,,,,,yes,,,,,,
,,,general,,,,,10,,,,geoimage.at MaxRes,,,,,,2016-10-02,,,,,,,Breitenau am Hochlantsch,,8614,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.4298178,,,47.3912714,,,,Dr. Grogger,,,,,,Arzt,,,,,,,,,,,doctors,,,,,,,,,,,,,,,yes,,,,St. Jakob,doctor,AT
,,,,,,,,13,,,,,,,,,,,,,,Aslangasse,,,Wien,,1190,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.3375306,,,48.2522466,,,,,,,,,,Arzt,,,,,,,,,,,doctors,,,,,,,,,,,,,,,yes,,,,,,AT
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.7818432,,,48.1913387,,,,,,,,,,Arzt - Alter Bahnhof,,,,,,,,,,,doctors,,,,,,,,,,,,,,,yes,,,,,,
,,,,,,,,7,,,,,,,,,,,,,,Ludwig Brucknerstraße,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.6967641,,,48.3972939,,,,,,,,,,Arzt Dr. Epp,,,,,,,,,,,doctors,,,,,,,,,,,,,,,yes,,,,,,
,,,general,,,,,255,,,,,,,,,,2017-04-07,,,,Rieder Straße,,,Ottnang am Hausruck,,4901,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.5992623,,,48.1154073,,,,,,,,,Ordination Dr. Dellinger,Arzt für Allgemeinmedizin,,,,http://www.dellinger.at/,,,,,,,doctors,,,,,,,,,,,,,,,yes,,,,,,AT
,,,general,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.5325357,,,46.7488603,,,,,,,,,,"Arzt für Allgemeinmedizin, Heilmassage",,,,,,,,,,,doctors,,,,,,,,,,,yes,,,,,,,,,centre,
,,,homeopathy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.1336851,,,47.8975609,,,,,,,,,,Arzt für Homöopathie Barbara Reuter,,,,,,,,,,,doctors,,,,,,,,,,,,,,,house,,,,,doctor,
,,,,,,,,4,,,,,,,,,,2017-10-01,,,,Hauptplatz,,,Spannberg,,2244,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.7386765,,,48.4645055,,,,,,,,,,Arztpraxis,,,,,,,,,,,doctors,,,,,,,,,,,,,,,yes,,,,,,AT
,,,,,,,,140,,,,geoimage.at MaxRes,,,,,,,,,,Unholzen,,+43 5332 54005 20,Angerberg,,6320,,,,,,,,,,,,,,,,assistentin@arztpraxis-angerberg.at,,,,,,,,,,,,12.0560748,http://www.arztpraxis-angerberg.at/,,47.5079540,,,,,,,"Mo-Fr 08:30-11:30; Mo,We 15:30-18:30; Fr 13:00-16:00",+43 5332 54005,,Arztpraxis Angerberg,,,,,,,,,,,doctors,,,,,,,,,,,,,,,yes,,,,,doctor,AT
,,,,,,,,25,,,,geoimage.at,,,,,,2016-10-02,,,,Pratsdorfstraße,,,Pettenbach,,4643,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.0226027,,,47.9604385,,,,,,,,,,Arztpraxis Dr. Hager,,,,,,,,,,,doctors,,,,,,,,,,,,,,,yes,,,,,,AT
,,,gynaecology,,,,,30,,,,,,,,,,,,,,Parkstraße,,,Kirchdorf an der Krems,,4560,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.1260769,,,47.9029110,,,,,,,,+43-7582-64535,,Arztpraxis Frauenarzt Dr. M. Spanring,,,,,,,,,,,doctors,,,,,,,,,,,,,,,yes,,,,,doctor,AT
,,,ophthalmology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.1337151,,,47.8992460,,,,,,,,,,Augenarzt Dr. Gerlach,,,,,,,,,,,doctors,,,,,,,,,,,,,,,house,,,,,doctor,
,,,general,,,,,44,,,,,,,,,,,,,,Amundsenstraße,,,Strasshof an der Nordbahn,,2231,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.6442395,,,48.3184561,,,,,,,,,,Balga Philipp Dr med,,,,http://www.balga.at/,02287 3939,,,,,,doctors,,,,,,,,,,,,,,,yes,,,,,,
,,,,,,,,10,,,,basemap.at,,,,,,,,,,Waidhofner Straße,,,Greinsfurth,,3300,,,,,,,,,,,,,,,,christina.keusch@gmx.at,,,,,,,,,,,,14.8441391,www.christina-keusch.at,,48.1099126,,,,,,,,06504733733,,"Christina Keusch, Cranio Sacral Omnipath",,,,,,,,,,,doctors,,,,,,,,,,,,,,,house,,,,,,AT
,,,,,,,,6a,,,,,,,,,,,,,,Hochstraße,,,Leonding,,4060,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.2523200,,,48.2798025,,,,,,,,+43 732 670580,,DDr. Martin Haditsch,+43 676 7064580,,,,,,,,,,doctors,,,,,,,Hygiene und Mikrobiologie,,,,,,,,house,,,,,,AT
,,,,,,,,6,,,,,,,,,+43 1 865 1953 14,,,,,Leopold-Schäftner-Gasse,,,Perchtoldsdorf,,2380,,,,,,,,,,,,,,office@diagnosepraxis.at,,,,,,,,,,,,,,16.2558598,,,48.1203468,,,,Dr. med. univ. Stephan Schamp-Hertling,,,,,,Diagnosepraxis,,,,http://www.diagnosepraxis.at/,+43 1 865 19 53,,,,,,doctors,,,,,,,,,,,,,,,commercial,,,yes,,,AT
