shop,amenity,drive_through,addr:housename,addr:ward,roof:colour,height,payment:debit_cards,wikidata,alt_name,operator,payment:credit_cards,addr:housenumber,area,building:levels,opening_hours,contact:phone,wikipedia,source,lon,catastro:ref,ref,email,website,wheelchair,addr:unit,survey:date,description,emergency,nohousenumber,building:material,payment:cash,addr:full,source:date,phone,source:geometry,addr:province,lat,roof:shape,tourism,addr:street,building,building:colour,fixme,name,wheelchair:description,level,addr:postcode,roof:material,addr:place,addr:city,source:geometry:url,disused:name,dispensing,healthcare,landuse,addr:country,name:es
,pharmacy,,,,,,,,,,,,,,,,,,2.6501773,,,,,,,,,,,,,,,,,,39.5812919,,,,yes,,,Aguiló,,,,,,,,,,pharmacy,,,
,pharmacy,,,,,,,,,,,26,,1,,,,,-8.2517886,,,,,,,,,,,,,,,+34 981 324967,,,43.4938935,,,Estrada da Cabana,yes,,comprobar que es correcto,Beatriz Sánchez Carrasco,,,15591,,,Ferrol,,,yes,pharmacy,,,
,pharmacy,no,,,,,,,,,,18B,,,"Mo-Fr 09:30-14:30,16:30-20:00; Sa 10:00-14:00; Su,PH 12:00-13:30",,,,-8.0567020,,,,http://www.farmaciabenignavillasusocores.com/,,,,,,,,,,,,,,43.3333908,,,Rebordelo,yes,,,Benigna Villasuso Cores,,,15619,,,Monfero,,,,pharmacy,,,
,pharmacy,,,,,,,,,,,31,,2,,,,catastro,-3.8328157,,,,,,,,,,,,,,2013-01,,,,43.4551320,,,Avenida de Valdecilla,yes,,,Blanca García Arijita,,,39011,,Cajo,Santander,,,,,,ES,
,pharmacy,,,,,,,Q5732736,Farmacia Jimeno,,,19,,,,,es:Botica de Peñaranda de Duero,PNOA,-3.4812434,,,,,,,,,,,,,,2009,+34947552006,,,41.6880849,,attraction,Calle de la Botica,yes,,,Botica,,,,,,,,,yes,,,,
,pharmacy,,,,,,,,,,,,,,,,,,-4.9040796,,,,,,,,,,,,,,,,,,43.2136176,,,,yes,,,Botiquín Farmaceutico,,,,,,,,,,pharmacy,,,
,pharmacy,,,,,,,,,,,1,,,,,,,-5.7905953,,,,,,,,,,,,,,,+34 987 364 082,,,42.4413636,,,Plaza,yes,,,Carmen Vázquez Salom,,,24357,,,Bustillo del Páramo,,,yes,pharmacy,,,
,pharmacy,no,,,,,,,,,,,,,,,,,-8.6105733,,,,,,,,,,,,,,,,,,42.3091316,,,,yes,,,Cesantes,,,,,,,,,,,,,
,pharmacy,,,,,,,,,,,,,,,,,,-1.6382415,,,,,,,,,,,,,,,,,,38.5644516,,,Carretera de Hellín a Almansa,yes,,,Domínguez-Redondo,,,,,,,,,,,,,
,pharmacy,,,,,,,,,,,,,,,,,,-2.9338230,,,,,,,,,,,,,,,,,,37.7030670,,,,,,,FARMACIA ANTIÑOLO,,,,,,,,,no,,,,
