amenity,int_name,addr:street:en,healthcare:speciality,wikipedia,building:use,addr:suburb,surface,loc_name,wikidata,alt_name,parking,operator,name:ru,is_in,addr:housenumber,barrier,lon,building:levels,contact:phone,short_name,ele,note,source,branch,addr:street,email,website,fax,abandoned,description,emergency,addr:housename,addr:suburb:en,fence_type,phone,old_name,lat,name:bg,addr:city,building,name:en,operator:type,name,designation,level,url,addr:postcode,wheelchair,addr:housenumber:en,start_date,healthcare,source_type_GPS,toilets:wheelchair,internet_access,addr:country,name:it
hospital,,,,,,,,,,,,,,,37,,27.1474586,,,,,,,,"ул. ""Розова долина""",,,,,,,,,,+359 855 3029;+359 855 3200;+359 864 23200,,43.8220369,,Дулово,,,,"""МБАЛ-Дулово"" ЕООД (Болница)",,,,7650,,,,,,,,,
hospital,,,,,,,,,,,,,,,,,23.5080853,,,,,,,,,,,,,,yes,,,,,,42.7378805,,,hospital,,,16 ДКЦ,,,,,,,,,,,,,
hospital,,,,,,,,,,,,,,,68,,27.8286141,,,,,,,,бул. 25-ти Септември,,,,,,,,,,,,43.5780139,,Добрич,,,,2 ДКЦ,,,,9300,,,,,,,,BG,
hospital,,,,,,,,,,,,,,,15-17,,23.2827146,,+359 2 855 3059,,,,,,Ген. Стефан Тошев,,http://www.20dkc-sofia.org/,,,,,,,,,,42.6727834,,,,,,20-ти ДКЦ,,,,,,,,,,,,,
hospital,,,,,,,,,,,,,,,20,,23.3533343,,,,,,,,Клисура,,,,,,,,,,,,42.7068985,,,hospital,,,23-ти ДКЦ,,,,,limited,,,,,,,,
hospital,,,,,,ж.к. Младост 3,,,,,,,,ж.к. Младост 3; София; България,20,,23.3821525,,,,,,,,Свето Преображение,,,,,,,,,,,,42.6403198,,София,,,,25 ДКЦ,,,,,limited,,,,,,,,
hospital,,,,,,,,,,,,,,,8,,23.2962786,,+359 2 958 24 48,,,,,,Георги Измирлиев,,http://www.29dkc.com/,,,,,,,,,,42.6647272,,София,,,,29-ти ДКЦ,,,,,,,,,,,,,
hospital,,,,,,,,,,,,,,,,,25.6263868,,,,,,,,,,,,,,no,,,,,,42.4305161,,,yes,,,2ра поликлиника,,,,,,,,,,,,,
hospital,,,,,,,,,,,,,,,,,24.7458565,,,,,,,,,,,,,,,,,,,,42.1691595,,,,,,3 ДКЦ,,,,,,,,,,,,,
hospital,,,,,,,,,,,,,,,,,24.7143654,,,,,,,,,,,,,,,,,,,,42.1304700,,,,,,4 ДКЦ,,,,,,,,,,,,,
hospital,,,,,,,,,,,,,,,,,24.7932408,,,,,,,,,,,,,,,,,,,,42.1321695,,,yes,,,5-то ДКЦ,,,,,,,,,,,,,
hospital,,,,,,,,,,,,,,,,,23.3154139,,,,,,,,,,,,,,no,,,,,,42.7125595,,,hospital,,,7-ми ДКЦ,,,,,,,,,,,,,
hospital,,,,,,,,,,,,,,,737.1.7,,25.5653265,4,,,,,,,Единство,,,,,,no,,,,,,41.9372059,,,yes,,,AГО Хасково,,,,,,,,,,,,,
hospital,,,,,,,,,,,,,,,,,23.3180721,,,,,,,,,,,,,,,,,,,,42.6402491,,,yes,,,City Clinic,,,,,,,,,,,,,
hospital,,,,,,,,,,,,,,,,,27.7599460,,,,,,,,,,,,,,,,,,,,42.7114026,,,yes,,,Medical Center,,,,,,,,,,,,,
hospital,,,,,,,,,,,,,,,,,24.7399220,,,,,,,,,,http://sindbad-bg.com,,,,,,,,,,42.1386642,,,yes,,,Medline,,,,,,,,,,,,,
hospital,,,,,,,,,,,,,,,1,,23.3610856,,,,,,,,Д-р Любен Русев,,https://svnaum.com/,,,,,,,,+359 (2) 9702 300,,42.6668882,,,,"MHATNP ""St. Naum""",,MБАЛНП “Св. Наум”,,,,1113,,,,,,,,,
hospital,,,,,,,,,,,,,,,,,24.7609160,,,,,,,,,,,,,,,,,,,,42.1480596,,,yes,,,Red Cross Bulgaria,,,www.redcross.bg,,,,,,,,,,
hospital,,,,,,,,,,,,,,,,,25.6114744,,,,,,,,,,,,,,yes,,,,,,42.4356099,Тракия,,yes,,,Trakia,,,,,,,,,,,,,
hospital,,,,,,,,,,,,,,,,,24.7561235,,,,,,,,,,,,,,,,,,,,42.1539677,,,yes,,,"АГ ""Весела""",,,www.agvesela.com,,,,,,,,,,
hospital,,,,,,,,,,,,,,,,,27.9140688,,,,,,,,,,,,,,,,,,,,43.2158110,,,yes,,,АГ болница,,,,,no,,,hospital,,,,,AG Bolnitsa
hospital,,,,,,,,,,,,,,,,,24.6333808,,,,,,,,,,,,,,,,,,,,43.3857566,,,yes,,,Авис Медика,,,,,,,,,,,,,
hospital,,,,,,,,,,,,,,,,,24.6166887,,,,,,,,,,,,,,,,,,,,43.4114908,,,yes,,,Авис Медика,,,,,,,,,,,,,
hospital,,,,bg:Аджибадем Сити Клиник Болница Токуда,,,,,Q7813707,,,Acibadem,,,51Б,,23.3238888,,,,,,,,бул. Никола Й. Вапцаров,,http://www.tokudabolnica.bg/,,,,yes,,,,,,42.6655256,,,,Acibadem City Clinic Tokuda Hospital,,Аджибадем Сити Клиник МБАЛ Токуда,,,,1407,yes,,,,,,,,
hospital,,,,,,,,,,,,,,,,,25.6269363,,,,,,,,,,,,,,,,,,,,42.4286066,,,yes,,,Акушеро-гинекология,,,,,,,,,,,,,
hospital,,,,,,,,,,,,,,,,,27.8161891,,,,,,,,,,,,,,,,,,,,43.2573388,,,yes,,,Аптека,,,,,,,,,,,,,
hospital,,,,,,,,,,,,,,,,,25.3735196,,,,,,,,,,,,,,,,,,,,41.6461731,,Кърджали,,Atanas Dafovski,,Атанас Дафовски,,,,6600,,,,,,,,,
hospital,,,,,,,,,,,,,,,,,24.3237579,,,,,,,,,,,,,,,,,,,,42.5051211,,,,,,Балнео лечебница,,,,,,,,,,,,,
hospital,,,,,,,,,,,,,,,,,24.3233485,,,,,,,,,,,,,,,,,,,,42.5052003,,,,,,Балнео лечебница,,,,,,,,,,,,,
hospital,,,,,,,,,,,,,,,,,27.8444058,,,,,,,,,,,,,,,,,,059052023,,42.1666739,,,yes,,,Болница,,,,,,,,,,,,,
hospital,,,,,,,,,,,,,,,,,23.2491306,,,,,,,,,,,,,,,,,,,,42.7082584,,,hospital,,,"Болница ""Люлин""",,,,,,,,,,,,,
hospital,,,,,,,,,,,,,,,,,25.3181659,,,,,,,,,,,,,,,,,,,,42.6918356,,,yes,,,"Болница ""Петромар"" АД",,,,,,,,,,,,,
hospital,,,,,,,,,,,,,,,,,23.2509919,,,,,,,,,,,,,,,,,,,,42.6641096,,,,,,"Болница ""Райна Княгиня""",,,,,,,,,,,,,
hospital,,,,,,,,,,,,,,,10,,23.3200211,,+359 2 45 22 000,,,,,База 2,Филип Кутев,,https://vita.bg/,,,,,,,,,,42.6568201,,София,,Vita Hospital,,Болница Вита,,,,,,,,,,,,,
hospital,,,,,,,,,,,,,,,,,26.5006795,,,,,,,,,,,,,,yes,,,,,,43.7914042,,,,,,Болница Кубрат,,,,,,,,,,,,,
