health_facility:type,roof:levels,amenity,office,healthcare:speciality,building:part,addr:housename,contact:website,surface,loc_name,wikidata,alt_name,parking,operator,name:de,addr:housenumber,access,short_name,lon,building:levels,opening_hours,contact:phone,wikipedia,name,note,source,stars,type,email,website,at_bev:addr_date,description,emergency,contact:email,phone,lat,wheelchair:description,addr:street,building,fixme,ref,contact:fax,addr:city,designation,roof:shape,addr:postcode,wheelchair,addr:place,healthcare,addr:country
,,clinic,,,,,,,,,,,,,13,,,13.4214861,,,,,AGZ Altenmarkter Gesundheitszentrum,,,,,,http://www.agz-altenmarkt.at/,,,,,,47.3769830,,Michael-Walchhofer-Straße,civic,,,,Altenmarkt im Pongau,,,5541,,,clinic,AT
,,,,,,,,,,,,,,,28,,,14.4928143,,,,,ALTIS Fitness Arena,,,,,,,2017-10-01,,,,,46.8736573,,Moorweg,yes,,,,Althofen,,,9330,,,,AT
,,clinic,,,,,,,,,,,,,,,,13.4581826,,,,,Am Kogl,,,,,,,,,,,,47.9414592,,,yes,,,,,,,,,,,
,,clinic,,,,,,,,,,,,,60,,,16.5850500,,,,,Ambulatorium für Rheumatherapie,,,,,,,,,,,,48.5669284,,Liechtensteinstraße,yes,,,,Mistelbach,,,2130,,,,AT
,,clinic,,,,,,,,,,,Stiftung Kurtherme Badehospiz,,1,,,13.1385286,,,,,Badehospiz,,,4,,,http://badehospiz.at/,,,,,,47.1199022,,Badbergstraße,hotel,,,,Bad Gastein,,,5640,,,rehabilitation,AT
,,clinic,,,,,,,,,,,,,,,,13.0905921,,,,,EMCO Klinik,,,,,,,,,,,,47.6619934,,,,,,,,,,,,,,
,,clinic,,,,,,,,Q252562,,,,,19,,,13.0966002,,,,de:Paselstollen,Gasteiner Heilstollen,,,,,info@gasteiner-heilstollen.com,https://www.gasteiner-heilstollen.com/,,Kuranlage,,,+ 43 6434 3753-0,47.0799904,,Heilstollenstraße,yes,,,,Böckstein,,,5645,,,,AT
,,clinic,,,,,https://ggz.graz.at/,,,,,,,,,,,15.4286335,,,+43 316 7060 - 0,,Geriatrisches Gesundheitszentrum der Stadt Graz,,,,,,,,,no,ggz.office@stadt.graz.at,,47.0646903,,,,,,,,,,,yes,,clinic,
,,clinic,,,,,,,,,,,,,19,,,14.4723281,,,,,Gesundheitszentrum Enns,,,,,,https://www.ghz-enns.at/,,,,,,48.2209287,,Kathrein-Straße,civic,,,,Enns,,,4470,,,clinic,AT
,,clinic,,,,,,,,,,,,,49,,,14.0223845,,,,,Gesundheitszentrum Wels,,,,,,http://www.gesundheit-wels.at,,,,,,48.1735647,,Grieskirchner Straße,,,,,Wels,,,4600,,,,AT
,,clinic,,,,,http://www.gzw.at/,,,,Sanatorium Kursana,,,,8,,GZW,12.0620917,,,,,Gesundheitszentrum Wörgl,,plan.at 2009,,,,,,,,,,47.4886482,,Fritz Atzl-Straße,hospital,,,,Wörgl,,flat,6300,,,centre,AT
,,clinic,,,,,,,,,,,,,18,,,13.1443199,,,,,Habsburgerhof,,,,,,,,convalescent home,,,,47.1239845,,Kaiserhofstraße,hotel,,,,Bad Gastein,,,5640,,,rehabilitation,AT
,,,,,,,,,,,,,,,,,,14.4933310,,,,,Haus 1,,,,,,,,,,,,46.8734835,,,apartments,,,,,,,,,,,
,,,,,,,,,,,,,,,28,,,14.4929314,,,,,Haus 2,,,,,,,2017-10-01,,,,,46.8738055,,Moorweg,yes,,,,Althofen,,,9330,,,,AT
,,,,,,,,,,,,,,,,,,14.4939796,,,,,Haus 3,,,,,,,,,,,,46.8718668,,,apartments,,,,,,,,,,,
,,,,,,,,,,,,,,,26,,,14.4923310,,,,,Haus 4,,,,,,,2017-10-01,,,,,46.8716915,,Moorweg,apartments,,,,Althofen,,,9330,,,,AT
,,,,,,,,,,,,,,,28,,,14.4929598,,,,,Haus 5,,,,,,,2017-10-01,,,,,46.8741316,,Moorweg,yes,,,,Althofen,,,9330,,,,AT
,,,,,,,,,,,,,,,,,,14.4922985,,,,,Haus 6,,,,,,,,,,,,46.8747117,,,yes,,,,Althofen,,,,,,,AT
,,,,,,,,,,,,,,,,,,14.4925097,,,,,Haus 7,,,,,,,,,,,,46.8748809,,,yes,Buildings under construction - shape estimated - to be fixed later,,,,,,,,,,
rehabilitation,,clinic,,,,,,,,,,,,,310,,,14.9584645,,,,,Herz-Kreislauf-Zentrum Groß Gerungs,,,,Herz-Kreislauf,,https://www.herz-kreislauf.at/,,,,,,48.5656176,,Kreuzberg,yes,,,,Groß Gerungs,,,3920,yes,,rehabilitation,AT
,,clinic,,,,,,,,,,,,,140,,,15.5886571,,,+43 664 8315 444,,InnoVit-health solutions,,geoimage.at,,,,http://innovit.at,,,no,office@innovit.at,+433133 6100,47.0684512,,Hauptstraße,house,,,,Laßnitzhöhe,,,8301,,,physiotherapist,AT
,,clinic,,,,,,,,,,,,,15,,,15.3397130,,,,,Klinik Judendorf-Straßengel,,geoimage.at,,,,,,,no,,,47.1147576,,Grazer Straße,yes,,,,Gratwein-Straßengel,,,8111,yes,,clinic,AT
,,clinic,,physiatry,,,,,,,,,,,14,,,13.1280713,,,,,Klinikum Bad Gastein,,basemap.at,,,,https://www.klinikum-badgastein.at/,,,,,+43 6434 2523 4901,47.1031133,,Hans Kudlich-Straße,yes,,,,Bad Gastein,,,5640,,,rehabilitation,AT
,,clinic,,,,Klinikum Bad Gleichenberg,,,,,,,,,4,,,15.9138587,,,,,Klinikum Bad Gleichenberg,,,,,,,,,no,,,46.8757430,,Schweizereiweg,hospital,,,,,,,8344,,,,
,0,clinic,,,,,,,,,,,,,,,,15.8194575,3,,,,Klinikum Eggenburg,,,,,,,,,,,,48.6468385,,,hospital,,,,,,,3730,,,,
,,clinic,,,,,https://www.noegkk.at/,,,,,,Niederösterreichische Gebietskrankenkasse,,9-15,,,16.2295712,,,+43 2252 48177,,Klinikum Peterhof,,,,,,,,,,kph-verw@noegkk.at,,48.0042090,,Sauerhofstraße,public,,,+43 2252 48177-3680,Baden,,,2500,,,,AT
,,clinic,,,,,,,,,,,,,65,,,14.0055244,,,,,Kompetenzcenter Gesundheit St. Stephan Wels,,geoimage.at,,,,,,,,,,48.1560122,,Salzburger Straße,yes,,,,Wels,,,4600,,,,AT
,,clinic,,,,,,,,,,,,,,,,14.0059700,,,,,Kompetenzcenter Gesundheit St. Stephan Wels,,,,,,,,,,,,48.1568080,,,,,,,,,,,,,,
,,clinic,,,,,,,Puntigam Links,Q1341799,,,KAGes,,1,,LSF,15.4180201,,,,de:Landesnervenklinik Sigmund Freud,Landesnervenklinik Sigmund Freud,,geoimage.at,,,,,,,neurology;psychiatry,,,47.0355489,,Wagner-Jauregg-Platz,,,,,Graz,,,8053,,,,AT
,,clinic,,,,,,,,,,,,,,,,15.5770264,,,,,Luisenheim,,,,,,,,,no,,,47.0754629,,,yes,,,,Laßnitzhöhe,,,,,,,
,,clinic,,,,,,,,,,,,,168,,,13.2810260,,,,,MedAlm,,,,,,,2018-10-01,,,,,46.6129060,,,yes,,,,Hermagor-Pressegger See,,,9631,,Tröpolach,,AT
,,clinic,,,,,http://www.medalp.com/,,,,,,,,1,,,10.6993799,3,,,,Medalp Sportclinic,,,,,,,,,yes,,,47.2140485,,Medalp-Platz,yes,,,,Imst,,flat,6460,yes,,,AT
,,clinic,,,,,,,,,,,,,18,,,16.7281987,,24/7,+43 2282 9004 0,,Medizinisches Zentrum Gänserndorf,,geoimage.at,,,,,,,,mzg.leitstelle@mistelbach.lknoe.at,,48.3453723,,Barbaraheimstraße,yes,,,,Gänserndorf,,,2230,yes,,,
,,clinic,,,,,,,,,,,,,2,,,13.0304397,,,,,PKS Privatklinik Salzburg GmbH,,,,,,https://privatkliniksalzburg.at/,,,,,,47.7948146,,Sinnhubstraße,yes,,,,Salzburg,,,5020,,,,AT
,,clinic,,physiatry,,,,,,,,,KAV Wien,,,,,16.2764458,,,,,Pavillion 1a,"Institut für Physikalische Medizin und Rehabilitation, mit Ambulanz",,,,,,,,,,,48.1709866,,,yes,,,,,,,,,,clinic,
,,clinic,,,,,,,,,,,,,,,,16.3596272,,,,,Privatklinik Döbling,,,,,,,,,,,,48.2399959,,,yes,,,,,,,,yes,,,
,,clinic,,,,,,,,,,,,,55-63,,,16.3586013,,,,,Privatklinik Döbling,,,,,,https://www.privatklinik-doebling.at/,,,,,,48.2387803,,Heiligenstädter Straße,,,,,Wien,,,1190,,,clinic,AT
,,clinic,,,,,,,,,,,,,16,,,15.3843060,,,,,Privatklinik Kastanienhof,,,,,,https://www.kastanienhof.at/,,,no,,,47.0643066,,Gritzenweg,sanatorium,,,,Graz,,,8052,,,,AT
,,clinic,,,,,,,,,,,,,35,,,15.4413996,,,,,Privatklinik Kreuzschwestern,,Bing,,,,,,,no,,,47.0839255,,Kreuzgasse,yes,,,,Graz,,,8010,,,,AT
