health_facility:type,roof:levels,amenity,loc_name,healthcare:speciality,addr:housename,contact:website,building:use,reg_name,indoor:wall:material,official_name,lon,abbreviation,indoor:level,wikidata,alt_name,smoking,operator,name:de,opening_hours:phone,is_in,addr:housenumber,alt_name_1,emergency,addr:district,area,building:levels,opening_hours,image,contact:phone,wikipedia,layer,alt_name1,note,source,email,covered,start_date,website,alt_name_2,fax,at_bev:addr_date,description,short_name,contact:email,healthcare,addr:suburb,phone,orig_name,alt_name2,health_specialty:orthopaedics,old_name,lat,operator:type,smoking:outside,tourism,addr:street,building,building:colour,name:en,contact:fax,name,designation,level,url,addr:postcode,wheelchair,addr:place,addr:city,local_name,military,toilets:wheelchair,landuse,addr:country,indoor:area
,,hospital,,,,,,,,,12.1519599,,,,,,,,,,,,,,,,,,,,,,,,,,,http://www.bkh-kufstein.at,,,,,,,,,,,,,,47.5707931,,,,,,,,,A. ö. Bezirkskrankenhaus Kufstein,,,,,,,,,,,,,
,,hospital,,,,,,,,,12.4843668,,,,,,Tauernkliniken GmbH,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.2807961,,,,,,,,,A.ö. Tauernklinikum Mittersill,,,,,,,,,,,,,
,,hospital,,,,,,,,,16.5099727,,,,,,Krages,,,,32,,yes,,,,,,+57 979 34 000,,,,,plan.at 2009,,,,https://www.krages.at/index.php?id=98,,,,,,,,,,,,,,47.5075450,,,,Spitalgasse,yes,,,,Allgemein öffentliches Krankenhaus Oberpullendorf,,,,7350,,,Oberpullendorf/Felsőpulya,,,,,,
,,hospital,,,,,,,,,13.9169533,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.2317084,,,,,yes,,,,Ambulatorium Kurhaus,,,,,,,,,,,,,
,,hospital,,,,,,,,Gesundheitszentrum Wien-Süd,16.3451552,,,,,,WGKK,,,,13,,,,,,,,,,,,,,,,,,,,,,,,hospital,,,,,,,48.1694662,,,,Wienerbergstraße,yes,,,,Ambulatorium Süd,,,,1100,,,Wien,,,,,AT,
,,hospital,,,,,,,,,14.0246502,,,,Krankenhaus Wels,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,48.1741098,,,,,yes,,,,Bau 0,,,,,yes,,,,,,,,
,,hospital,,paediatrics,,,,,,,14.0257640,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,hospital,,,,,,,48.1731684,,,,Eferdingerstraße,yes,,,,Bau 6 - Eltern-Kind-Zentrum,,,,4600,yes,,Wels,,,,,AT,
,,hospital,,,,,,,,,12.7637099,,,Q854262,,,,,,,5,,,,,,,,,de:Bezirkskrankenhaus Lienz,1,,,,,,,,,,,,,,,,,,,,,46.8355430,,,,Emanuel von Hibler-Straße,yes,,,,Bezirkskrankenhaus Lienz,,,,9900,yes,,Lienz,,,yes,,AT,
,,hospital,,,,,,,concrete,,10.7142317,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.4729688,,,,,yes,,,,Bezirkskrankenhaus Reutte,,,,,,,,,,,,,wall
,,hospital,,,,,,,,,11.7048539,,,,,,,,,,2,,yes,,,,,,+43 5242 600 0,,,,,geoimage.at,,,,https://www.kh-schwaz.at/,,,,,,info@kh-schwaz.at,hospital,,,,,,,47.3440612,,,,Dr.-Körner-Straße,yes,,,,Bezirkskrankenhaus Schwaz,,,,6130,yes,,Schwaz,,,,,AT,
,,hospital,,,,,,,,,12.4297820,,,,,,,,,,14,,,,,,,,,,,,Chirurgie;Unfallchirurgie;Innere Medizin;Allgemeine Chirurgie;Orthopädie und orthopädische Chirurgie;Gynäkologie und Geburtshilfe;Kinder- und Jugendabteilung;Anästhesie;Radiologie;Physiotherapie,Lokalerhebung 2012-2019,,,,http://www.khsj.at,,,,,,,hospital,,+43 5352 606-0,,,,,47.5213384,,,,Bahnhofstraße,,,,,Bezirkskrankenhaus St. Johann in Tirol,,,,6380,yes,,St. Johann in Tirol,,,,,AT,
,,hospital,,,,,,,,,13.0212794,,,,CDK Salzburg,,Salzburger Landeskliniken,,,,79,,,,,,,,,,,CDK,,,,,,,,,,,,,,,,,Salzburg CDK,,,47.8130220,,,,Ignaz-Harrer-Straße,,,,,Christian Doppler Klinik,,,,5020,yes,,,,,,,,
,,hospital,,,,,,,,,13.0761564,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.7876671,,,,,,,,,Diakonissen-Krankenhaus,,,,,,,,,,,,,
,,hospital,,,,http://www.diakonissen-krankenhaus-linz.at,,,,,14.3011085,,,Q1208342,Krankenhaus Diakonissen Linz,,,,,,,,no,,,,,,+43 732 76750,,,,,,,,,,,,,,,dkh-linz@diakoniewerk.at,,,,,,,,48.3038063,,,,,,,,+43 732 782079,Diakonissen-Krankenhaus Linz,,,,,yes,,,,,,healthcare,,
,,hospital,,,,,,,,Sozialmedizinisches Zentrum Ost,16.4600433,,,Q2305892,Donauspital,,,,,,122,,yes,,,,,,,,,,,,,,,,,,2017-10-01,,,,,,,,,,,48.2195455,,,,Langobardenstraße,,,,,Donauspital / SMZ-Ost,Spital,,,1220,yes,,Wien,,,,,AT,
,,hospital,,general,,,,,,,14.4659965,,,,,,,,,,31,,,,,,,,,,,,,,,,,,,,,,,,hospital,,,,,,,46.6132386,,,,Blumengasse,,,,,Dr. Martin Pasiut,,,,,,,,,,,,,
,,hospital,,,Evangelisches Krankenhaus Wien,,,,,,16.3456746,,,,,,,,,,10-12,,no,,,,,,,,,,,ViennaGIS,,,,http://www.ekhwien.at/,,,,,EKH,,hospital,,+43 1 40422 0,,,,,48.2242433,,,,Hans-Sachs-Gasse,yes,,,,Evangelisches Krankenhaus Wien,,,,1180,yes,,Wien,,,,,AT,
,,hospital,,,,,,,,,16.3462486,,,,,,,,,,,,no,,,,,,,,,,,ViennaGIS,,,,,,,,,,,hospital,,,,,,,48.2240510,,,,,yes,,,,Evangelisches Krankenhaus Wien,,,,,,,,,,,,,
rehabilitation,,hospital,,,,,,,,,15.7861868,,,,,,,,,,2-4,,,,,,,,,,,,,,,,,http://www.raxblick.at/,,,,,,,rehabilitation,,,,,,,47.6710148,,,hotel,Oberland,yes,,,,Gesundheitsresort Raxblick,,,,2654,,,Reichenau an der Rax,,,,,AT,
,,hospital,,,,,,,,,13.9180365,,,,,,OÖGKK,,,,6,,,,,5,,,,,,,,geoimage.at,,,,,,,,,Linzerheim,,,,,,,,,48.2315094,,,,Grieskirchner Straße,yes,#f5e6e1,,,Gesundheitszentrum Linzerheim,,,,4701,,,Bad Schallerbach,,,,,AT,
,,hospital,,,,,,,,,16.2902896,,,Q1584031,,,,,,,,,,,,,,,,de:Hanusch-Krankenhaus,,,,,,,,https://www.wgkk.at/portal27/wgkkgeportal/content/contentWindow?viewmode=content&contentid=10007.724455,,,,,,,,,,,,,,48.1987788,,,,,,,,,Hanusch-Krankenhaus,,,,,yes,,,,,,,,
,,hospital,,,,,,,,,16.4188238,,,Q2509720,,,,,,,238,,yes,,,,,,,de:Van-Swieten-Kaserne,,,,,,,,,,,,,,,,,,,,,,48.2930133,,,,Brünner Straße,yes,,,,Heeresspital,,,,1210,,,Wien,,yes,,,AT,
