shop,building:part,indoor,payment:cash,ref:addr,addr:housenumber,payment:debit_cards,addr:state,source,drive_in,short_name,addr:street,source:name,fixme,name,designation,level,addr:postcode,roof:material,payment:credit_cards,roof:orientation,source:user,payment:mastercard,recycling:drugs,amenity_1,building:usage:pl,description,payment:maestro,3dr:type,brand:wikidata,addr:street:sym_ul,ref,email,barrier,contact:email,addr:province,roof:shape,building:use,addr:city:simc,atm,source:geometry,payment:visa_electron,addr:city,source:building,payment:visa_debit,source_ref,drive_through,lon,contact:website,roof:colour,height,operator,name:pl,brand:wikipedia,area,opening_hours,contact:phone,addr:housename,building.source:levels,start_date,website,brand,addr:subdistrict,phone,smoking,emuia:id,room,buildingpart,dispensing,landuse,roof:levels,amenity,source:opening_hours,payment:notes,building:use:pl,source:amenity,addr:district,building:levels,note,ref:source,source:addr,building:material,source_ref:name,payment:visa,lat,payment:telephone_cards,building,building:colour,payment:coins,url,wheelchair,addr:place,building:levels:underground,healthcare,addr:country
,,,,,1,,,,,,Osiedle Kopa,,,""" Na Kopie """,,,63-600,,,,,,,,,,,,,38574,,,,,,,,0936871,,,,Kępno,,,,,17.9764437,,,,,,,,,,,,,,,,,,,,,,,,pharmacy,,,,,,,,,kepno.e-mapa.net,,,,51.2774492,,yes,,,,,,,,
,,,,,7,,,,,,Strażacka,,,24h,,,93-318,,,,,,,,,,,,,,,,,,,,,,,,,Łódź,,,,,19.4817345,,,,,,,,,,,,,,,,,,,,,,,,pharmacy,,,,,,,,,,,,,51.7178271,,yes,,,,,,,pharmacy,
,,,,,233A,,,,,,,,,APTEKA,,,36-002,,,,,,,,,,,,,,,,,,,,,0664237,,,,,,,,,22.0509360,,,,,,,,,,,,,,,,,,,,,,,,pharmacy,,,,,,,,,trzebownisko.e-mapa.net,,,,50.1173987,,yes,,,,,Jasionka,,,
,,,yes,,,,,,,,,,,APTEKA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.2229108,,,,,,,,,,,,,,,,,,,,,,,,pharmacy,,yes,,,,,,,,,,,50.8988861,,yes,,yes,,,,,,
,,,,,51g,,,,,,Bolesława Limanowskiego,,,AZ Apteka,,,96-300,,,,,,,,,,,,,,1093794,,,,,,,0977210,,,,Żyrardów,,,,,20.4317444,,,,MGR FARM. ALINA ZALEWSKA,,,,Mo-Fr 08:00-20:00;Sa 08:00-15:00,,,,,,,,+48 46 855 44 26,,,,,yes,,,pharmacy,,,,,,,,http://www.rejestrymedyczne.csioz.gov.pl/ra.html,,,,,52.0548670,,yes,,,,,,,,
,,,,,26,,,,,,Wilczyńska,,,Adoloran,,,62-541,,,,,,,,,,,,,,,,,,,,,,,,,Budzisław Kościelny,,,,,18.0853497,,,,,,,,,,,,,,,,,,,,,,,,pharmacy,,,,,,,,,,,,,52.4391344,,yes,,,,,,,,
,,,,,,,,http://ump.waw.pl/ retrieved 11:18:52 11/17/09 (UMP-Tarnow/src/POI-szpitale.pnt-converted.txt),,,,,,Adonis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.2904445,,,,,,,,,,,,,,,,+48146721306,,,,,,,,pharmacy,,,,,,,,,,,,,49.9788704,,yes,,,,,,,,
,,,,,8,,,,,,Warszawska,,,Alba,,,95-070,,,,,,,,,,,,,,,albaew@vp.pl,,,,,,,,,,Aleksandrów Łódzki,,,,,19.3047983,,,,,,,,Mo-Fr 08:00-20:00; Sa 08:00-15:00,,,,,,,,+48427127558,,,,,,,,pharmacy,,,,,,,,,,,,,51.8217944,,retail,,,,,,,,PL
,,,,,6,,,własne,,,Tysiąclecia,,,Alba Bis,,,38-400,,,,,,,,,,,,,,,,,,,,,,,,,Krosno,,,,,21.7494745,,,,,,,,,,,,,,,,,,,,,,,,pharmacy,,,,,,,,,,,,,49.6969630,,yes,,,,,,,,
,,,,,3,,,UM Ząbki,,,Drewnicka,,,Aleee. Apteka,,,05-091,,,,,,,,,,,,,,,,,,,,,,,,,Ząbki,,,,,21.0969558,,,,,,,,09:00-21:00,,,,,,,,,,,,,,,,pharmacy,,,,,,,,,,,,,52.3047800,,house,,,,,,,,
