amenity,operator:type,ssr:stedsnr,lon,image,layer,wikidata,alt_name,operator,name:ru,addr:housenumber,emergency,name:se,building:levels,opening_hours,healthcare:speciality,wikipedia,emergency:helipad,note,source,name:nn,addr:street,email,website,description,short_name,name:nb,source:date,phone,old_name,lat,name:lt,addr:city,building,building:colour,name:sme,name:en,name,roof:shape,url,addr:postcode,wheelchair,start_date,healthcare,toilets:wheelchair,landuse,addr:country,internet_access
hospital,,,10.7970604,,,Q4700637,Aker sykehus,,,,,,,,,,,,,,,,,,,,,,,59.9385162,,,,,,,Aker universitetssykehus,,,,,,,,,,
hospital,,,10.9918113,,,Q4700653,Akerhus sentralsykehus,,,25,yes,,,24/7,,no:Akershus universitetssykehus,yes,,,,Sykehuseveien,postmottak@ahus.no,https://www.ahus.no/,,,,,+47 91502900,,59.9326763,,Lørenskog,,,,Akershus University Hospital,Akershus universitetssykehus (AHUS),,,1478,yes,,,,,NO,
hospital,,,23.2736104,,,,,Finnmarkssykehuset,,,,,,Mo-Fr 08:00-15:30,,,,,,,,,https://finnmarkssykehuset.no/steder/alta-helsesenter,,,,,+47 78 48 39 00,,69.9685980,,,,,,,Alta helsesenter,,,,,,,,,,
hospital,,,5.7413033,,,,,,,,ambulance_station,,,,,,,,,,Frida Hansens vei,,,,,,,,,58.9502967,,Stavanger,public,,,,Ambulansesentral Stavanger,,,,,,,,,,
hospital,,,14.2174494,"https://commons.wikimedia.org/wiki/File:22_Barentsburg,Hospital.JPG",,,,,,,,,4,,,,,,,,,,,,,,,,,78.0617681,,,hospital,,,,Barentsburg Hospital,,,,,,,,,,
hospital,,,9.5965780,,,Q50036489,,,,,,,,,,,,,Bing,,,,,,,,,,,59.2088591,,,yes,,,,Betanien hospital,,,,,,,,,,
hospital,,,10.4258819,,,,,,,,,,,,general,,,,,,,,,,,,,,,59.2153583,,,,,,,Bjønnessåsen sykehjem,,,,,,hospital,,,,
hospital,,,10.5088813,,,,,,,,yes,,,,,,,,,,,,,,,,,,,59.8985754,,,,,,,Bærum sykehus,,,,yes,,hospital,yes,,,
hospital,,,10.7040525,,,Q11965600,,,,,,,,,,,,,,,,,,,,,,,,59.9384833,,,,,,,Diakonhjemmet sykehus,,,,,,,,,,
hospital,,,10.7114431,,,,,,,7,,,,,,,,,Yahoo,,Forskningsveien,,,,,,,,,59.9424202,,Oslo,hospital,,,,Diakonhjemmet sykehus Vinderen,,,0373,,,,,,,
hospital,,,10.1959677,,,Q11966016,,,,,yes,,,,,,,,,,,,,,,,,,Sykehuset Buskerud,59.7479714,,,,,,,Drammen sykehus,,,,yes,,,,,,
hospital,,,10.7178980,,,Q1773522,,,,,,,,,,,,part of Oslo University Hospital,,,,,,,,,,,,59.9524183,,,,,,Gaustad Hospital,Gaustad sykehus,,,,,,hospital,,,,
hospital,,,23.6695155,,,Q30279702,,,,,yes,,,,,,,,,,,,,,,,,,,70.6730658,,,,,,,Hammerfest sykehus,,,,,,hospital,,,,
hospital,,,16.5246577,,,,,,,,yes,,,,,,,,Bing,,,,,,,,,,,68.7965621,,,yes,,,,Harstad sykehus,,,,yes,,hospital,yes,,,
hospital,,,5.2767970,,,,,,,,yes,,,,,,,,,,,,,,,,,,,59.4095895,,,,,,,Haugesund sykehus,,,,yes,,,yes,,,
hospital,,126716,5.3612387,,,Q1770239,Haukeland sykehus,,,,yes,,,,,nn:Haukeland universitetssjukehus,,,,Haukeland universitetssjukehus,,,,,Haukeland sjukehus,Haukeland universitetssykehus,,,Haukeland Universitetssykehus,60.3727048,,,,,,Haukeland University Hospital,Haukeland Universitetssjukehus,,http://www.helse-bergen.no/,,yes,,hospital,yes,,,
hospital,,,14.1878007,,,,,,,,yes,,,,,,,,,,,,,,,,,,,66.3251659,,,,,,,Helgelandssykehuset Mo i Rana,,,,,,,,,,
hospital,,,10.4232623,,,,,,,,,,,,,,,,,,,,,,,,,,,59.2667009,,,,,,,Hjemmetjeneste sentral,,,,,,hospital,,,,
hospital,,,10.3975786,,,,,,,,,,,,,,,,,,,,,,,,,,,59.2854874,,,,,,,Kjelleparken,,,,,,hospital,,,,
hospital,,,5.6285443,,,,,klepp kommune,,2,,,,,,,,,,,Prestevegen,,,,,,,,,58.7716266,,Kleppe,,,,,Kleppheimen,,,4352,,,hospital,,,,
hospital,,,9.4050493,,,,,,,,,,,,,,,,,,,,,,,,,,,58.8801408,,,,,,,Kragerø sykehus,,,,,,hospital,,,,
hospital,,,7.7257795,,,,,,,,yes,,,,,,,,,,,,,,,,,,,63.1085295,,,yes,,,,Kristiansund sykehus,,,,,,hospital,,,,
hospital,,,10.0293760,,,,,,,,no,,,,,,,,,,,,,,,,,,,58.9883608,,,yes,,,,Kysthospitalet,,,,,,hospital,,,,
hospital,,,11.1628979,,,,,,,,,,,,,,,,,,,,,,,,,,,60.1655699,,,hospital,,,,LHL-sykehuset Gardermoen,,,,,,,,,,
hospital,,,10.2646422,,,Q11983936,,,,,,,,,,no:Lier sykehus,,,,,,,,,,,,,,59.7931374,,,,,,,Lier sykehus,,,,yes,,,yes,,,
hospital,,,15.6443373,,,Q21778088,,,Больница,,yes,Longyearbyen buohcceviessu,2,,,,,,,,,,https://unn.no/longyear,,,,,,,78.2197781,Longjyrbieno ligoninė,Longyearbyen,yes,yellow,,Longyearbyen Hospital,Longyearbyen sykehus,gabled,,9171,yes,1991,,,,,
hospital,,,7.5197964,,,,,,,,,,,,,,,,,,,,,,,,,+4757640000,,61.1021218,,,hospital,,,,Lærdal sjukehus,,,,,,,,,,
hospital,,,10.5095119,,,,,,,8,no,,,,,no:Martina Hansens Hospital,,Dette ser ut som et separat sykehus inne på området til det andre sykehuset,,,Dønskiveien,,http://martinahansen.no,,,,,+47 06780,,59.8973164,,Gjettum,,,,,Martina Hansens hospital,,,1346,,,hospital,,,,
hospital,,,7.1384185,,,Q19381798,,Helse Møre og Romsdal HF,,,yes,,,,,,,,,,,,,,,,,+4771120000,,62.7357395,,,,,,,Molde sjukehus,,,,,,hospital,,,,
hospital,,,13.2127461,,,,,,,,yes,,,,,,,,,,,,,,,,,,,65.8314537,,,,,,,Mosjøen sykehus,,,,,,hospital,,,,
hospital,,,17.4116572,,,,,,,,yes,,,,,,,,Bing,,,,,,,,,,,68.4416343,,,yes,,,,Narvik sykehus,,,,,,,,,,
hospital,,,5.9779942,,,Q11991783,,,,,,,,,,,,,,,,,,,,,,,,61.9163312,,,hospital,,,,Nordfjord sjukehus,,,,yes,,,,,,
hospital,,,14.3964231,,,Q7050829,,,,,yes,,,,,en:Nordland Hospital Trust,,,,,,,,,,,,,,67.2840314,,,,,,,Nordlandsykehuset,,,,,,,,,,
hospital,,,10.3962931,,,,,,,,,,,,,,,,,,,,,,,,,,,59.2405040,,,,,,,Nøtterøy helsesenter,,,,,,hospital,,,,
hospital,,,10.7176906,,,Q3050696,,,,,yes,,,,,,,,,,,,https://oslo-universitetssykehus.no/pasient_/nyttig_/kart_/Sider/Kart-over-Rikshospitalet.aspx,,,,,02770,,59.9473315,,,,,,Oslo University Hospital (Rikshospitalet),Oslo universitetssykehus (Rikshospitalet),,,,yes,,,,,,
hospital,,,10.7462623,,,Q456196,,,,,yes,,,,,,,,,,,,,,,,,,,59.9397043,,,,,,Oslo University Hospital (Ullevål),Oslo universitetssykehus (Ullevål),,http://www.oslo-universitetssykehus.no,,,,,,,,
hospital,,,10.6652211,,,,Det norske radiumhospital,,,,,,,,oncology,no:Det norske radiumhospital,,,,,,,,,,,,,,59.9314134,,,,,,,Radiumhospitalet,,,,,,hospital,,,,
hospital,,,10.6466351,,,Q11997499,Presteseter sykehus,,,,,,,,,,,,,,,,,,,,,,,60.6829305,,,,,,,Reinsvoll sykehus,,,,,,,,,,
hospital,,,10.2572052,,,,,,,,,,,,,,,,,,,,,,,,,,,60.1472542,,,,,,,Ringerike Sykehus,,,,,,hospital,,,,
hospital,,,10.2532100,,,,,,,1,yes,,,,,,,,,,Arnold Dybsjords vei,,,,,,,,,60.1494536,,Hønefoss,,,,,Ringerike Sykehus HF,,,3511,yes,,,,,,
hospital,,,11.1583621,,,,,,,,,,,,,,,,,,,,,,,,,,,60.7800381,,,,,,,Sanderud sykehus,,,,,,,,,,
hospital,,,10.3273662,,,,,,,,,,,,,,,,,,,,,,,,,,,59.2839159,,,,,,,Sem bo- og servicesenter,,,,,,hospital,,,,
hospital,,,10.8435081,,,,,,,,,,,,,,,,,,,,,,,,,,,59.7262433,,,yes,,,,Ski sykehus,,,,,,,,,,
hospital,,,10.4236298,,,,,,,,,,,,,,,,,,,,,,,,,,,59.2386863,,,,,,,Smidsrød helsehus,,,,,,hospital,,,,
hospital,,,10.5331136,,,,,,,,no,,,,neurology;epilepsy;surgery;biology;community,,,,,,,,,,,,,,,59.9046172,,,,,,,Spesialsykehuset for epilepsi (SSE),,,,,,hospital,,,,
hospital,,,9.8447053,,,Q11994089,Orkdal sykehus,,,,,,,,,,,,,,,,,,,,,,,63.2934849,,,,,,,"St. Olavs, avdeling Orkdal",,,,,,hospital,,,,
hospital,,,5.7297186,,,Q4580602,SUS,,,,yes,,,,,en:Stavanger University Hospital,,,,,,,,,,,,,,58.9536493,,,,,,,Stavanger Universitetssjukehus,,http://www.helse-stavanger.no/,,yes,,,,,,
hospital,,,14.9102092,,,,,,,,yes,,,,,,,,,,,,,,,,,,,68.5593337,,,,,,,Stokmarknes sykehus,,,,,,,,,,
