health_facility:type,roof:levels,amenity,building:colour,healthcare:speciality,medical_system:western,roof:colour,source:name,layer,height,loc_name,wikidata,alt_name,operator,barrier,name:ca,addr:housenumber,emergency,lon,building:levels,opening_hours,contact:phone,addr:housename,name,source,building:material,roof:material,mappinggroup,catastro:ref,email,b5m:url,website,fax,description,short_name,contact:email,addr:province,sorting_name,fence_type,source:date,phone,b5m:id,old_name,lat,smoking,addr:street,building,nohousenumber,min_level,name:en,contact:fax,addr:city,designation,roof:shape,addr:postcode,wheelchair,source:geometry,b5m:urlOrto,name:gl,building:levels:underground,roof:orientation,source:geometry:date,max_level,healthcare,name:eu,landuse,addr:country,name:es,operator:zbs
,,doctors,,neurology;surgery,,,,,,,,,Institut Chiari & Siringomielia & Escoliosis de Barcelona,,,16,,2.1216419,,,,,16,,,,,,,,,,,,,,,,,,,,41.3901433,,Passeig de Manuel Girona,,,,,,Barcelona,,,08034,,,,,,,,,doctor,,,,,
,,doctors,,,,,,,,,,,Osakidetza,,,4,,-2.6793094,,Mo-Fr 08:00-17:00,,,Abetxukoko osasun zentroa/Centro de Salud de Abetxuko,,,,,,csabetxuko@osakidetza.eus,,http://www.osakidetza.euskadi.eus/r85-gkoara03/es/contenidos/sanidad_centro/abetxuko/es_def/index.html,+34 945278931,,,,Araba/Álava,,,,+34 945278900,,,42.8755955,,Kristo kalea/Calle el Cristo,yes,,,,,Vitoria-Gasteiz,,,01013,,,,,,,,,,Abetxukoko osasun zentroa,,ES,Centro de Salud de Abetxuko,
,,doctors,,,,,,,,,,,,,,,,-0.6582539,,,,,Ambulatori,,,,,,,,,,,,,,,,,,,,38.7168134,,,yes,,,,,,,,,,,,,,,,,,,,,,
,,doctors,,,,,,,,,,,,,,,,1.9167521,,,,,Ambulatori ICS,,,,,,,,,,,,,,,,,,,,41.4723871,,,,,,,,,,,,,,,,,,,,,,,,,
,,doctors,,,,,,,,,,,,,,,,2.5068585,,,,,Ambulatori de Calvià,,,,,,,,,,,,,,,,,,,,39.5674176,,,yes,,,,,,,,,,,,,,,,,,,,,,
,,doctors,,,,,,,,,,,,,,,,-5.4472302,,,,,Ambulatorio San Garcia,,,,,,,,,,,,,,,,,,,,36.1047117,,,,,,,,,,,,,,,,,,,,,,,,,
,,doctors,,,,,,,,,,,Osakidetza,,,23,,-2.6589571,,Mo-Fr 08:00-20:00,,,Aranbizkarra II osasun zentroa/Centro de Salud Aranbizkarra II,,,,,,csaranbizkarra2@osakidetza.eus,,http://www.osakidetza.euskadi.eus/r85-gkoara03/es/contenidos/sanidad_centro/aranbizkarra_ii/es_def/index.html,+34 945006858,,,,Araba/Álava,,,,+34 945006850,,,42.8542082,,Burgos kalea/Calle Burgos,yes,,,,,Vitoria-Gasteiz,,,01002,,,,,,,,,,Aranbizkarra II osasun zentroa,,ES,Centro de Salud Aranbizkarra II,
,,doctors,white,,,,,,,,,,,,,18,,-0.3625639,1,08:00-18:00,,,Asepeyo,,cement_block,,,,,,,,,,,,,,,+34 974482991,,,42.5157386,,Avenida de Huesca,yes,,,,,Sabiñánigo,,,22600,,,,,,,,,,,,,,
,,doctors,,,,,,,,,,,,,,,,2.0406678,,,,,Assamblea local Creu Roja,,,,,,,,,,,,,,,,,,,,41.3790863,,,,,,,,,,,,,,,,,,,,,,,,,
,,doctors,,,,,,,,,,,,,,,,0.6191535,,,,,Avantmèdic,"PNOA, Walking Papers",,,,,,,,,,,,,,,,,,,41.6211730,,,yes,,,,,,,,,,,,,,,,,,,,,,
