time_zone,std_abbr,dst_abbr,std_offset,dst_offset,std_full,dst_full,place_name,place_id,region_code,region_name,country_code,country_name,latitude,longitude
Europe/Amsterdam,CET,CEST,1,2,Central European Time,Central European Summer Time,Amsterdam,ChIJVXealLU_xkcRja_At0z9AGY,,,NL,Netherlands,52.3702157,4.8951679
Europe/Andorra,CET,CEST,1,2,Central European Time,Central European Summer Time,Andorra,ChIJlfCemC71pRIRkn_qeNc-yQc,,,AD,Andorra,42.506285,1.521801
Europe/Athens,EET,EEST,2,3,Eastern European Time,Eastern European Summer Time,Athens,ChIJ8UNwBh-9oRQR3Y1mdkU1Nic,,,GR,Greece,37.9838096,23.7275388
Europe/Belgrade,CET,CEST,1,2,Central European Time,Central European Summer Time,Belgrade,ChIJvT-116N6WkcR5H4X8lxkuB0,,,RS,Serbia,44.786568,20.4489216
Europe/Berlin,CET,CEST,1,2,Central European Time,Central European Summer Time,Berlin,ChIJAVkDPzdOqEcRcDteW0YgIQQ,,,DE,Germany,52.5200066,13.404954
Europe/Bratislava,CET,CEST,1,2,Central European Time,Central European Summer Time,Bratislava,ChIJl2HKCjaJbEcRaEOI_YKbH2M,,,SK,Slovakia,48.1485965,17.1077477
Europe/Brussels,CET,CEST,1,2,Central European Time,Central European Summer Time,Brussels,ChIJ_58PdIbEw0cRMIBML6uZAAE,,,BE,Belgium,50.8503463,4.3517211
Europe/Bucharest,EET,EEST,2,3,Eastern European Time,Eastern European Summer Time,Bucharest,ChIJT608vzr5sUARKKacfOMyBqw,,,RO,Romania,44.4267674,26.1025384
Europe/Budapest,CET,CEST,1,2,Central European Time,Central European Summer Time,Budapest,ChIJyc_U0TTDQUcRYBEeDCnEAAQ,,,HU,Hungary,47.497912,19.040235
Europe/Busingen,CET,CEST,1,2,Central European Time,Central European Summer Time,Büsingen am Hochrhein,ChIJr6m2ngmBmkcRffmQypLVlVM,,,DE,Germany,47.6969939,8.6904196
Europe/Chisinau,EET,EEST,2,3,Eastern European Time,Eastern European Summer Time,Chisinau,ChIJoWm3KDZ8yUARPN1JVzDW0Tc,,,MD,Moldova,47.0104529,28.8638103
Europe/Copenhagen,CET,CEST,1,2,Central European Time,Central European Summer Time,Copenhagen,ChIJIz2AXDxTUkYRuGeU5t1-3QQ,,,DK,Denmark,55.6760968,12.5683371
Europe/Dublin,GMT,IST,0,1,Greenwich Mean Time,Irish Summer Time,Dublin,ChIJL6wn6oAOZ0gRoHExl6nHAAo,,,IE,Ireland,53.3498053,-6.2603097
Europe/Gibraltar,CET,CEST,1,2,Central European Time,Central European Summer Time,Gibraltar,ChIJNb4UJ3a_DA0RD4cANiYlTjg,,,GI,Gibraltar,36.140751,-5.353585
Europe/Guernsey,GMT,BST,0,1,Greenwich Mean Time,British Summer Time,Saint Peter Port,ChIJW-PWowRzDUgR2rHna7uIkF8,,,GG,Guernsey,49.4541677,-2.5497069
Europe/Helsinki,EET,EEST,2,3,Eastern European Time,Eastern European Summer Time,Helsinki,ChIJkQYhlscLkkYRY_fiO4S9Ts0,,,FI,Finland,60.1698557,24.938379
Europe/Isle_of_Man,GMT,BST,0,1,Greenwich Mean Time,British Summer Time,Isle of Man,ChIJ1YEuRDCFY0gRDeDw8bxbAuo,,,IM,Isle of Man,54.236107,-4.548056
Europe/Istanbul,TRT,,3,3,Turkey Time,,Istanbul,ChIJawhoAASnyhQR0LABvJj-zOE,,,TR,Turkey,41.0082376,28.9783589
Europe/Jersey,GMT,BST,0,1,Greenwich Mean Time,British Summer Time,Jersey,ChIJM3WSjKRSDEgRw2waCqMjnFE,,,JE,Jersey,49.214439,-2.13125
Europe/Kaliningrad,EET,,2,2,Eastern European Time,,Kaliningrad,ChIJqSF8S40940YR024SFgCWUFA,,Kaliningrad Oblast,RU,Russia,54.7104264,20.4522144
Europe/Kiev,EET,EEST,2,3,Eastern European Time,Eastern European Summer Time,Kiev,ChIJBUVa4U7P1EAR_kYBF9IxSXY,,,UA,Ukraine,50.4501,30.5234
Europe/Lisbon,WET,WEST,0,1,Western European Time,Western European Summer Time,Lisbon,ChIJO_PkYRozGQ0R0DaQ5L3rAAQ,,,PT,Portugal,38.7222524,-9.1393366
Europe/Ljubljana,CET,CEST,1,2,Central European Time,Central European Summer Time,Ljubljana,ChIJ0YaYlvUxZUcRIOw_ghz4AAQ,,,SI,Slovenia,46.0569465,14.5057515
Europe/London,GMT,BST,0,1,Greenwich Mean Time,British Summer Time,London,ChIJdd4hrwug2EcRmSrV3Vo6llI,,,GB,United Kingdom,51.5073509,-0.3514683
Europe/Luxembourg,CET,CEST,1,2,Central European Time,Central European Summer Time,Luxembourg City,ChIJVyzznc1IlUcREG0F0dbRAAQ,,,LU,Luxembourg,49.611621,6.1319346
